Date,Cumulative Inflation
1/31/2011,0.0148
2/28/2011,0.0170
3/31/2011,0.0245
4/30/2011,0.0236
5/31/2011,0.0189
6/30/2011,0.0175
7/31/2011,0.0271
8/31/2011,0.0181
9/30/2011,0.0144
10/31/2011,0.0094
11/30/2011,0.0203
12/31/2011,0.0144
1/31/2012,0.0187
2/29/2012,0.0087
3/31/2012,0.0378
4/30/2012,0.0273
5/31/2012,0.0181
6/30/2012,0.0172
7/31/2012,0.0265
8/31/2012,0.0273
9/30/2012,0.0169
10/31/2012,0.0112
11/30/2012,0.0098
12/31/2012,0.0114
1/31/2013,0.0206
2/28/2013,-0.0012
3/31/2013,0.0040
4/30/2013,0.0070
5/31/2013,0.0184
6/30/2013,0.0407
7/31/2013,0.0224
8/31/2013,0.0148
9/30/2013,0.0160
10/31/2013,0.0131
11/30/2013,0.0290
12/31/2013,0.0355
1/31/2014,0.0540
2/28/2014,0.0593
3/31/2014,0.0292
4/30/2014,0.0177
5/31/2014,0.0221
6/30/2014,0.0151
7/31/2014,0.0211
8/31/2014,0.0248
9/30/2014,0.0234
10/31/2014,0.0246
11/30/2014,0.0171
12/31/2014,0.0159
1/31/2015,0.0234
2/28/2015,0.0104
3/31/2015,0.0223
4/30/2015,0.0199
5/31/2015,0.0171
6/30/2015,0.0225
7/31/2015,0.0222
8/31/2015,0.0210
9/30/2015,0.0172
10/31/2015,0.0184
11/30/2015,0.0203
12/31/2015,0.0345
1/31/2016,0.0631
2/29/2016,0.0240
3/31/2016,0.0281
4/30/2016,0.0274
5/31/2016,0.0420
6/30/2016,0.0310
7/31/2016,0.0200
8/31/2016,0.0020
9/30/2016,0.0110
10/31/2016,0.0240
11/30/2016,0.0160
12/31/2016,0.0120
1/31/2017,0.0130
2/28/2017,0.0250
3/31/2017,0.0240
4/30/2017,0.0260
5/31/2017,0.0130
6/30/2017,0.0140
7/31/2017,0.0170
8/31/2017,0.0150
9/30/2017,0.0200
10/31/2017,0.0130
11/30/2017,0.0140
12/31/2017,0.0340
1/31/2018,0.0160
2/28/2018,0.0240
3/31/2018,0.0250
4/30/2018,0.0270
5/31/2018,0.0190
6/30/2018,0.0390
7/31/2018,0.0310
8/31/2018,0.0410
9/30/2018,0.0660
10/31/2018,0.0510
11/30/2018,0.0290
12/31/2018,0.0280
1/31/2019,0.0280
2/28/2019,0.0380
3/31/2019,0.0480
4/30/2019,0.0320
5/31/2019,0.0300
6/30/2019,0.0260
7/31/2019,0.0210
8/31/2019,0.0390
9/30/2019,0.0580
10/31/2019,0.0320
11/30/2019,0.0430
12/31/2019,0.0370
1/31/2020,0.0230
2/29/2020,0.0200
3/31/2020,0.0360
4/30/2020,0.0140
5/31/2020,0.0150
6/30/2020,0.0200
7/31/2020,0.0160
8/31/2020,0.0270
9/30/2020,0.0280
10/31/2020,0.0360
11/30/2020,0.0300
12/31/2020,0.0370
1/31/2021,0.0330
2/28/2021,0.0360
3/31/2021,0.0480
4/30/2021,0.0410
5/31/2021,0.0340
6/30/2021,0.0320
7/31/2021,0.0300
8/31/2021,0.0260
9/30/2021,0.0380
10/31/2021,0.0380
11/30/2021,0.0250
12/31/2021,0.0410
1/31/2022,0.0390
2/28/2022,0.0470
3/31/2022,0.0670
4/30/2022,0.0620
5/31/2022,0.0480
6/30/2022,0.0550
7/31/2022,0.0740
8/31/2022,0.0700
9/30/2022,0.0620
10/31/2022,0.0630
11/30/2022,0.0490
12/31/2022,0.0530
1/31/2023,0.0600
2/28/2023,0.0660
3/31/2023,0.0770
4/30/2023,0.0840
5/31/2023,0.0780
6/30/2023,0.0600
7/31/2023,0.0620
8/31/2023,0.1230
9/30/2023,0.1150
10/31/2023,0.0830
11/30/2023,0.1150
12/31/2023,0.2550
1/31/2024,0.2080
2/29/2024,0.1320
3/31/2024,0.1100
4/30/2024,0.0920
5/31/2024,0.0420
6/30/2024,0.0460
7/31/2024,0.0400
8/31/2024,0.0380
9/30/2024,0.0370
